Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Ratio,YearBuilt,x,Y,CouncilArea,Latitude,Longitude,Regionname,Propertycount
Abbotsford,3/72 Charles St,4,House,1330000,PI,Kay,18/03/2017,2.5,3067,4,2,2,780,135,0.173076923,1900,City of ,Yarra,City of Yarra,-37.8073,144.9952,Northern Metropolitan,4019
Abbotsford,138/56 Nicholson St,3,Unit,1090000,S,Jellis,18/03/2017,2.5,3067,3,2,2,4290,27,0.006293706,,City of ,Yarra,City of Yarra,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,166 Gipps St,3,House,1290000,S,Biggin,25/02/2017,2.5,3067,3,2,2,147,18,0.12244898,,City of ,Yarra,City of Yarra,-37.805,144.9943,Northern Metropolitan,4019
Abbotsford,60 Stafford St,3,House,1290000,S,Biggin,25/02/2017,2.5,3067,3,1,1,168,124,0.738095238,1950,City of ,Yarra,City of Yarra,-37.8007,144.9958,Northern Metropolitan,4019
Abbotsford,47 Studley St,2,House,1180000,S,Jellis,27/11/2016,2.5,3067,2,1,0,162,91,0.561728395,1900,City of ,Yarra,City of Yarra,-37.8016,144.9956,Northern Metropolitan,4019
Abbotsford,49 Park St,2,House,1315000,S,Marshall,19/11/2016,2.5,3067,2,1,0,147,85,0.578231293,1900,City of ,Yarra,City of Yarra,-37.808,144.994,Northern Metropolitan,4019
Abbotsford,40 Nicholson St,3,House,1350000,VB,Nelson,12/11/2016,2.5,3067,3,2,2,214,190,0.887850467,2005,City of ,Yarra,City of Yarra,-37.8085,144.9964,Northern Metropolitan,4019
Abbotsford,16 William St,2,House,1310000,S,Jellis,15/10/2016,2.5,3067,2,1,2,238,97,0.407563025,1890,City of ,Yarra,City of Yarra,-37.809,144.9976,Northern Metropolitan,4019
Abbotsford,98 Charles St,2,House,1636000,S,Nelson,8/10/2016,2.5,3067,2,1,2,256,107,0.41796875,1890,City of ,Yarra,City of Yarra,-37.806,144.9954,Northern Metropolitan,4019
Abbotsford,10 Valiant St,2,House,1097000,S,Biggin,8/10/2016,2.5,3067,3,1,2,220,75,0.340909091,1900,City of ,Yarra,City of Yarra,-37.801,144.9989,Northern Metropolitan,4019
Abbotsford,42 Valiant St,2,House,890000,S,Biggin,17/09/2016,2.5,3067,2,1,1,150,73,0.486666667,1985,City of ,Yarra,City of Yarra,-37.8011,145.0004,Northern Metropolitan,4019
Abbotsford,27 Charles St,2,House,1030000,S,Biggin,30/07/2016,2.5,3067,2,1,1,172,81,0.470930233,1930,City of ,Yarra,City of Yarra,-37.8086,144.9946,Northern Metropolitan,4019
Abbotsford,42 Henry St,3,House,1200000,S,Jellis,16/07/2016,2.5,3067,3,2,1,113,110,0.973451327,1880,City of ,Yarra,City of Yarra,-37.8056,144.993,Northern Metropolitan,4019
Abbotsford,78 Yarra St,3,House,1176500,S,LITTLE,16/07/2016,2.5,3067,2,1,1,138,105,0.760869565,1890,City of ,Yarra,City of Yarra,-37.8021,144.9965,Northern Metropolitan,4019
Abbotsford,200 Nicholson St,2,House,1012500,S,Nelson,28/05/2016,2.5,3067,2,1,0,182,82,0.450549451,1900,City of ,Yarra,City of Yarra,-37.8021,144.9976,Northern Metropolitan,4019
Abbotsford,124 Yarra St,3,House,1876000,S,Nelson,7/05/2016,2.5,3067,4,2,0,245,210,0.857142857,1910,City of ,Yarra,City of Yarra,-37.8024,144.9993,Northern Metropolitan,4019
Abbotsford,25 Bloomburg St,2,House,1035000,S,Biggin,4/02/2016,2.5,3067,2,1,0,156,79,0.506410256,1900,City of ,Yarra,City of Yarra,-37.8079,144.9934,Northern Metropolitan,4019
Abbotsford,132 Vere St,3,House,1000000,SP,Biggin,8/04/2017,2.5,3067,3,1,0,198,98,0.494949495,1900,City of ,Yarra,City of Yarra,-37.8025,144.9939,Northern Metropolitan,4019
Abbotsford,24 Cooke St,2,House,1050000,S,Jellis,29/04/2017,2.5,3067,2,1,0,129,128,0.992248062,1890,City of ,Yarra,City of Yarra,-37.8099,145.0027,Northern Metropolitan,4019
Abbotsford,198 Gipps St,2,House,1242000,S,Nelson,29/04/2017,2.5,3067,2,1,1,249,98,0.393574297,1940,City of ,Yarra,City of Yarra,-37.8052,144.9963,Northern Metropolitan,4019
Abbotsford,5/29 Church St,2,Unit,480000,S,hockingstuart,17/06/2017,3,3067,2,1,1,601,64,0.106489185,1970,City of ,Yarra,City of Yarra,-37.80915,145.00066,Northern Metropolitan,4019
Abbotsford,14/205 Gipps St,2,Unit,750000,SP,Jellis,17/06/2017,3,3067,2,1,1,2379,69,0.029003783,2013,City of ,Yarra,City of Yarra,-37.80554,144.99612,Northern Metropolitan,4019
Abbotsford,67 Yarra St,3,House,1402500,S,Jellis,27/05/2017,3,3067,3,1,1,270,101,0.374074074,1960,City of ,Yarra,City of Yarra,-37.8023,144.99615,Northern Metropolitan,4019
Abbotsford,143 Charles St,3,House,1635000,S,Nelson,12/08/2017,3,3067,3,1,0,142,130,0.915492958,1880,City of ,Yarra,City of Yarra,-37.80359,144.99538,Northern Metropolitan,4019
Abbotsford,60 Charles St,3,House,1370000,S,Jellis,7/10/2017,3,3067,3,1,,192,109,0.567708333,1900,City of ,Yarra,City of Yarra,-37.80792,144.99508,Northern Metropolitan,4019
Abbotsford,38 Studley St,3,House,1240000,S,Nelson,7/10/2017,3,3067,3,1,1,159,93,0.58490566,1890,City of ,Yarra,City of Yarra,-37.80124,144.99459,Northern Metropolitan,4019
Abbotsford,44 Lulie St,2,House,970000,S,Nelson,9/12/2017,3,3067,2,1,,105,85,0.80952381,1890,City of ,Yarra,City of Yarra,-37.79644,144.99578,Northern Metropolitan,4019
Abbotsford,31 Park St,3,House,1200000,S,Biggin,17/02/2018,3,3067,3,1,1,211,93,0.440758294,1970,City of ,Yarra,City of Yarra,-37.80864,144.99386,Northern Metropolitan,4019
Aberfeldie,126 The Boulevard,4,House,3900000,S,Nelson,10/12/2016,9.1,3040,4,4,4,670,375,0.559701493,2010,City of ,Moonee Valley,City of Moonee Valley,-37.7637,144.8931,Western Metropolitan,1543
Aberfeldie,2 May St,4,House,1200000,VB,Nelson,19/11/2016,9.1,3040,4,2,2,578,35,0.060553633,2010,City of ,Moonee Valley,City of Moonee Valley,-37.7614,144.8953,Western Metropolitan,1543
